Interpolation,MSE,PSNR,Time (s)
Nearest,3845.4382188554555,12.281345225337502,0.0038466453552246094
Bilinear,2663.683780054837,13.875976946972244,0.0034165382385253906
Bicubic,2659.0069837949945,13.883608828745736,0.004797697067260742
